t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
1713635847,95;0,00;0,00;0,00;8,00;60,00
1713635847,95;0,00;10,75;0,00;8,00;60,00
1713635847,95;0,00;25,39;0,00;8,00;60,00
1713635847,95;0,00;40,85;0,06;8,00;60,00
1713635847,95;0,00;55,71;0,23;8,00;60,00
1713635847,95;0,00;70,75;0,44;8,00;60,00
1713635847,95;0,00;85,46;0,52;8,00;60,00
1713635847,95;0,00;101,11;0,54;8,00;60,00
1713635847,95;0,00;115,48;0,56;8,00;60,00
1713635847,95;0,00;130,50;0,59;8,00;60,00
1713635847,95;0,00;145,63;0,68;8,00;60,00
1713635847,95;0,00;160,84;0,84;8,00;60,00
1713635847,95;0,00;175,53;1,04;8,00;60,00
1713635847,95;0,00;190,68;1,30;8,00;60,00
1713635847,95;0,00;205,48;1,55;8,00;60,00
1713635847,95;0,00;220,99;1,80;8,00;60,00
1713635847,95;0,00;235,44;2,05;8,00;60,00
1713635847,95;0,00;250,60;2,28;8,00;60,00
1713635847,95;0,00;265,54;2,56;8,00;60,00
1713635847,95;0,00;280,50;2,81;8,00;60,00
1713635847,95;0,00;295,44;3,06;8,00;60,00
1713635847,95;0,00;310,68;3,31;8,00;60,00
1713635847,95;0,00;325,36;3,56;8,00;60,00
1713635847,95;0,00;340,81;3,56;8,00;60,00
1713635847,95;0,00;355,38;3,82;8,00;60,00
1713635847,95;0,00;371,26;4,07;8,00;60,00
1713635847,95;0,00;385,26;4,32;8,00;60,00
1713635847,95;0,00;400,52;4,54;8,00;60,00
1713635847,95;0,00;416,42;4,78;8,00;60,00
1713635847,95;0,00;430,74;5,07;8,00;60,00
1713635847,95;0,00;445,62;5,29;8,00;60,00
1713635847,95;0,00;461,02;5,56;8,00;60,00
1713635847,95;0,00;475,44;5,81;8,00;60,00
1713635847,95;0,00;2,34;6,06;8,00;60,00
1713635847,95;0,00;2,08;6,28;8,00;60,00
1713635847,95;0,00;1,77;6,55;8,00;60,00
1713635847,95;0,00;1,47;6,80;8,00;60,00
1713635847,95;0,00;1,30;6,95;8,00;60,00
1713635847,95;0,00;1,26;6,99;8,00;60,00
1713635847,95;0,00;1,26;7,00;8,00;60,00
1713635847,95;0,00;1,26;7,00;8,00;60,00
1713635847,95;0,00;1,27;7,00;8,00;60,00
1713635847,95;0,00;1,28;7,00;8,00;60,00
1713635847,95;0,00;1,29;7,00;8,00;60,00
1713635847,95;0,00;1,30;7,00;8,00;60,00
1713635847,95;0,00;1,31;7,00;8,00;60,00
1713635847,95;0,00;1,31;7,00;8,00;60,00
1713635847,95;0,00;1,32;7,00;8,00;60,00
1713635847,95;0,00;1,33;7,00;8,00;60,00
1713635847,95;0,00;1,34;7,00;8,00;60,00
1713635847,95;0,00;1,35;7,00;8,00;60,00
1713635847,95;0,00;1,36;7,00;8,00;60,00
1713635847,95;0,00;1,37;7,00;8,00;60,00
