0.00;0.00
0.10;40.00;40.00
0.20;40.00;40.00
0.30;40.00;40.00
0.40;40.00;40.00
0.50;40.00;40.00
0.60;40.00;40.00
0.70;40.00;40.00
0.80;40.00;40.00
0.90;40.00;40.00
1.00;40.00;40.00
1.10;40.00;40.00
1.20;40.00;40.00
1.30;40.00;40.00
1.40;40.00;40.00
1.50;40.00;40.00
1.60;40.00;40.00
1.70;40.00;40.00
1.80;40.00;40.00
1.90;40.00;40.00
2.00;40.00;40.00
2.10;40.00;40.00
2.20;40.00;40.00
2.30;40.00;40.00
2.40;40.00;40.00
2.50;40.00;40.00
2.60;40.00;40.00
2.70;40.00;40.00
2.80;40.00;40.00
2.90;40.00;40.00
3.00;40.00;40.00
3.10;40.00;40.00
3.20;40.00;40.00
3.30;40.00;40.00
3.40;40.00;40.00
3.50;40.00;40.00
3.60;40.00;40.00
3.70;40.00;40.00
3.80;40.00;40.00
3.90;40.00;40.00
4.00;40.00;40.00
4.10;40.00;40.00
4.20;40.00;40.00
4.30;40.00;40.00
4.40;40.00;40.00
4.50;40.00;40.00
4.60;40.00;40.00
4.70;40.00;40.00
4.80;40.00;40.00
4.90;40.00;40.00
5.00;40.00;40.00
5.10;40.00;40.00
5.20;40.00;40.00
5.30;40.00;40.00
5.40;40.00;40.00
5.50;40.00;40.00
5.60;40.00;40.00
5.70;40.00;40.00
5.80;40.00;40.00
5.90;40.00;40.00
6.00;40.00;40.00
6.10;40.00;40.00
6.20;40.00;40.00
6.30;40.00;40.00
6.40;40.00;40.00
6.50;40.00;40.00
6.60;40.00;40.00
6.70;40.00;40.00
6.80;40.00;40.00
6.90;40.00;40.00
7.00;40.00;40.00
7.10;40.00;40.00
7.20;40.00;40.00
7.30;40.00;40.00
7.40;40.00;40.00
7.50;40.00;40.00
7.60;40.00;40.00
7.70;40.00;40.00
7.80;40.00;40.00
7.90;40.00;40.00
8.00;40.00;40.00
8.10;40.00;40.00
8.20;40.00;40.00
8.30;40.00;40.00
8.40;40.00;40.00
8.50;40.00;40.00
8.60;40.00;40.00
8.70;40.00;40.00
8.80;40.00;40.00
8.90;40.00;40.00
9.00;40.00;40.00
9.10;40.00;40.00
9.20;40.00;40.00
9.30;40.00;40.00
9.40;40.00;40.00
9.50;40.00;40.00
9.60;40.00;40.00
9.70;40.00;40.00
9.80;40.00;40.00
9.90;40.00;40.00
10.00;40.00;40.00
10.10;40.00;40.00
10.20;40.00;40.00
10.30;40.00;40.00
10.40;40.00;40.00
10.50;40.00;40.00
10.60;40.00;40.00
10.70;40.00;40.00
10.80;40.00;40.00
10.90;40.00;40.00
11.00;40.00;40.00
11.10;40.00;40.00
11.20;40.00;40.00
11.30;40.00;40.00
11.40;40.00;40.00
11.50;40.00;40.00
11.60;40.00;40.00
11.70;40.00;40.00
11.80;40.00;40.00
11.90;40.00;40.00
12.00;40.00;40.00
12.10;40.00;40.00
12.20;40.00;40.00
12.30;40.00;40.00
12.40;40.00;40.00
12.50;40.00;40.00
12.60;40.00;40.00
12.70;40.00;40.00
12.80;40.00;40.00
12.90;40.00;40.00
13.00;40.00;40.00
13.10;40.00;40.00
13.20;40.00;40.00
13.30;40.00;40.00
13.40;40.00;40.00
13.50;40.00;40.00
13.60;40.00;40.00
13.70;40.00;40.00
13.80;40.00;40.00
13.90;40.00;40.00
14.00;40.00;40.00
14.10;40.00;40.00
14.20;40.00;40.00
14.30;40.00;40.00
14.40;40.00;40.00
14.50;40.00;40.00
14.60;40.00;40.00
14.70;40.00;40.00
14.80;40.00;40.00
14.90;40.00;40.00
15.00;40.00;40.00
15.10;40.00;40.00
15.20;40.00;40.00
15.30;40.00;40.00
15.40;40.00;40.00
15.50;40.00;40.00
15.60;40.00;40.00
15.70;40.00;40.00
15.80;40.00;40.00
15.90;40.00;40.00
16.00;40.00;40.00
16.10;40.00;40.00
16.20;40.00;40.00
16.30;40.00;40.00
16.40;40.00;40.00
16.50;40.00;40.00
16.60;40.00;40.00
16.70;40.00;40.00
16.80;40.00;40.00
16.90;40.00;40.00
17.00;40.00;40.00
17.10;40.00;40.00
17.20;40.00;40.00
17.30;40.00;40.00
17.40;40.00;40.00
17.50;40.00;40.00
17.60;40.00;40.00
17.70;40.00;40.00
17.80;40.00;40.00
17.90;40.00;40.00
18.00;40.00;40.00
18.10;40.00;40.00
18.20;40.00;40.00
18.30;40.00;40.00
18.40;40.00;40.00
18.50;40.00;40.00
18.60;40.00;40.00
18.70;40.00;40.00
18.80;40.00;40.00
18.90;40.00;40.00
19.00;40.00;40.00
19.10;40.00;40.00
19.20;40.00;40.00
19.30;40.00;40.00
19.40;40.00;40.00
19.50;40.00;40.00
19.60;40.00;40.00
19.70;40.00;40.00
19.80;40.00;40.00
19.90;40.00;40.00
20.00;40.00;40.00
20.10;40.00;40.00
20.20;40.00;40.00
20.30;40.00;40.00
20.40;40.00;40.00
20.50;40.00;40.00
20.60;40.00;40.00
20.70;40.00;40.00
20.80;40.00;40.00
20.90;40.00;40.00
21.00;40.00;40.00
21.10;40.00;40.00
21.20;40.00;40.00
21.30;40.00;40.00
21.40;40.00;40.00
21.50;40.00;40.00
21.60;40.00;40.00
21.70;40.00;40.00
21.80;40.00;40.00
21.90;40.00;40.00
22.00;40.00;40.00
22.10;40.00;40.00
22.20;40.00;40.00
22.30;40.00;40.00
22.40;40.00;40.00
22.50;40.00;40.00
22.60;40.00;40.00
22.70;40.00;40.00
22.80;40.00;40.00
22.90;40.00;40.00
23.00;40.00;40.00
23.10;40.00;40.00
23.20;40.00;40.00
23.30;40.00;40.00
23.40;40.00;40.00
23.50;40.00;40.00
23.60;40.00;40.00
23.70;40.00;40.00
23.80;40.00;40.00
23.90;40.00;40.00
24.00;40.00;40.00
24.10;40.00;40.00
24.20;40.00;40.00
24.30;40.00;40.00
24.40;40.00;40.00
24.50;40.00;40.00
24.60;40.00;40.00
24.70;40.00;40.00
24.80;40.00;40.00
24.90;40.00;40.00
25.00;40.00;40.00
25.10;40.00;40.00
25.20;40.00;40.00
25.30;40.00;40.00
25.40;40.00;40.00
25.50;40.00;40.00
25.60;40.00;40.00
25.70;40.00;40.00
25.80;40.00;40.00
25.90;40.00;40.00
26.00;40.00;40.00
26.10;40.00;40.00
26.20;40.00;40.00
26.30;40.00;40.00
26.40;40.00;40.00
26.50;40.00;40.00
26.60;40.00;40.00
26.70;40.00;40.00
26.80;40.00;40.00
26.90;40.00;40.00
27.00;40.00;40.00
27.10;40.00;40.00
27.20;40.00;40.00
27.30;40.00;40.00
27.40;40.00;40.00
27.50;40.00;40.00
27.60;40.00;40.00
27.70;40.00;40.00
27.80;40.00;40.00
27.90;40.00;40.00
28.00;40.00;40.00
28.10;40.00;40.00
28.20;40.00;40.00
28.30;40.00;40.00
28.40;40.00;40.00
28.50;40.00;40.00
28.60;40.00;40.00
28.70;40.00;40.00
28.80;40.00;40.00
28.90;40.00;40.00
29.00;40.00;40.00
29.10;40.00;40.00
29.20;40.00;40.00
29.30;40.00;40.00
29.40;40.00;40.00
29.50;40.00;40.00
29.60;40.00;40.00
29.70;40.00;40.00
29.80;40.00;40.00
29.90;40.00;40.00
30.00;40.00;40.00
30.10;40.00;40.00
30.20;40.00;40.00
30.30;40.00;40.00
30.40;40.00;40.00
30.50;40.00;40.00
30.60;40.00;40.00
30.70;40.00;40.00
30.80;40.00;40.00
30.90;40.00;40.00
31.00;40.00;40.00
31.10;40.00;40.00
31.20;40.00;40.00
31.30;40.00;40.00
31.40;40.00;40.00
31.50;40.00;40.00
31.60;40.00;40.00
31.70;40.00;40.00
31.80;40.00;40.00
31.90;40.00;40.00
32.00;40.00;40.00
32.10;40.00;40.00
32.20;40.00;40.00
32.30;40.00;40.00
32.40;40.00;40.00
32.50;40.00;40.00
32.60;40.00;40.00
32.70;40.00;40.00
32.80;40.00;40.00
32.90;40.00;40.00
33.00;40.00;40.00
33.10;40.00;40.00
33.20;40.00;40.00
33.30;40.00;40.00
33.40;40.00;40.00
33.50;40.00;40.00
33.60;40.00;40.00
33.70;40.00;40.00
33.80;40.00;40.00
33.90;40.00;40.00
34.00;40.00;40.00
34.10;40.00;40.00
34.20;40.00;40.00
34.30;40.00;40.00
34.40;40.00;40.00
34.50;40.00;40.00
34.60;40.00;40.00
34.70;40.00;40.00
34.80;40.00;40.00
34.90;40.00;40.00
35.00;40.00;40.00
35.10;40.00;40.00
35.20;40.00;40.00
35.30;40.00;40.00
35.40;40.00;40.00
35.50;40.00;40.00
35.60;40.00;40.00
35.70;40.00;40.00
35.80;40.00;40.00
35.90;40.00;40.00
36.00;40.00;40.00
36.10;40.00;40.00
36.20;40.00;40.00
36.30;40.00;40.00
36.40;400.00;400.00
36.50;400.00;400.00
36.60;400.00;400.00
36.70;400.00;400.00
36.80;400.00;400.00
36.90;400.00;400.00
37.00;400.00;400.00
37.10;400.00;400.00
37.20;400.00;400.00
37.30;400.00;400.00
37.40;400.00;400.00
37.50;400.00;400.00
37.60;400.00;400.00
37.70;400.00;400.00
37.80;400.00;400.00
37.90;400.00;400.00
38.00;400.00;400.00
38.10;400.00;400.00
38.20;400.00;400.00
38.30;400.00;400.00
38.40;400.00;400.00
38.50;400.00;400.00
38.60;400.00;400.00
38.70;400.00;400.00
38.80;400.00;400.00
38.90;400.00;400.00
39.00;400.00;400.00
39.10;400.00;400.00
39.20;400.00;400.00
39.30;400.00;400.00
39.40;400.00;400.00
39.50;400.00;400.00
39.60;400.00;400.00
39.70;400.00;400.00
39.80;400.00;400.00
39.90;400.00;400.00
40.00;400.00;400.00
40.10;400.00;400.00
40.20;400.00;400.00
40.30;400.00;400.00
40.40;400.00;400.00
40.50;400.00;400.00
40.60;400.00;400.00
40.70;400.00;400.00
40.80;400.00;400.00
40.90;400.00;400.00
41.00;400.00;400.00
41.10;400.00;400.00
41.20;400.00;400.00
41.30;400.00;400.00
41.40;400.00;400.00
41.50;400.00;400.00
41.60;400.00;400.00
41.70;400.00;400.00
41.80;400.00;400.00
41.90;400.00;400.00
42.00;400.00;400.00
42.10;400.00;400.00
42.20;400.00;400.00
42.30;400.00;400.00
42.40;400.00;400.00
42.50;400.00;400.00
42.60;400.00;400.00
42.70;400.00;400.00
42.80;400.00;400.00
42.90;400.00;400.00
43.00;400.00;400.00
43.10;400.00;400.00
43.20;400.00;400.00
43.30;400.00;400.00
43.40;400.00;400.00
43.50;400.00;400.00
43.60;400.00;400.00
43.70;400.00;400.00
43.80;400.00;400.00
43.90;400.00;400.00
44.00;400.00;400.00
44.10;400.00;400.00
44.20;400.00;400.00
44.30;400.00;400.00
44.40;400.00;400.00
44.50;400.00;400.00
44.60;400.00;400.00
44.70;400.00;400.00
44.80;400.00;400.00
44.90;400.00;400.00
45.00;400.00;400.00
45.10;400.00;400.00
45.20;400.00;400.00
45.30;400.00;400.00
45.40;400.00;400.00
45.50;400.00;400.00
45.60;400.00;400.00
45.70;400.00;400.00
45.80;400.00;400.00
45.90;400.00;400.00
46.00;400.00;400.00
46.10;400.00;400.00
46.20;400.00;400.00
46.30;400.00;400.00
46.40;400.00;400.00
46.50;400.00;400.00
46.60;400.00;400.00
46.70;400.00;400.00
46.80;400.00;400.00
46.90;400.00;400.00
47.00;400.00;400.00
47.10;400.00;400.00
47.20;400.00;400.00
47.30;400.00;400.00
47.40;400.00;400.00
47.50;400.00;400.00
47.60;400.00;400.00
47.70;400.00;400.00
47.80;400.00;400.00
47.90;400.00;400.00
48.00;400.00;400.00
48.10;400.00;400.00
48.20;400.00;400.00
48.30;400.00;400.00
48.40;400.00;400.00
48.50;400.00;400.00
48.60;400.00;400.00
48.70;400.00;400.00
48.80;400.00;400.00
48.90;400.00;400.00
49.00;400.00;400.00
49.10;400.00;400.00
49.20;400.00;400.00
49.30;400.00;400.00
49.40;400.00;400.00
49.50;400.00;400.00
49.60;400.00;400.00
49.70;400.00;400.00
49.80;400.00;400.00
49.90;400.00;400.00
50.00;400.00;400.00
50.10;400.00;400.00
50.20;400.00;400.00
50.30;400.00;400.00
50.40;400.00;400.00
50.50;400.00;400.00
50.60;400.00;400.00
50.70;400.00;400.00
50.80;400.00;400.00
50.90;400.00;400.00
51.00;400.00;400.00
51.10;400.00;400.00
51.20;400.00;400.00
51.30;400.00;400.00
51.40;400.00;400.00
51.50;400.00;400.00
51.60;400.00;400.00
51.70;400.00;400.00
51.80;400.00;400.00
51.90;400.00;400.00
52.00;400.00;400.00
52.10;400.00;400.00
52.20;400.00;400.00
52.30;400.00;400.00
52.40;400.00;400.00
52.50;400.00;400.00
52.60;400.00;400.00
52.70;400.00;400.00
52.80;400.00;400.00
52.90;400.00;400.00
53.00;400.00;400.00
53.10;400.00;400.00
53.20;400.00;400.00
53.30;400.00;400.00
53.40;400.00;400.00
53.50;400.00;400.00
53.60;400.00;400.00
53.70;400.00;400.00
53.80;400.00;400.00
53.90;400.00;400.00
54.00;400.00;400.00
54.10;400.00;400.00
54.20;400.00;400.00
54.30;400.00;400.00
54.40;400.00;400.00
54.50;400.00;400.00
54.60;400.00;400.00
54.70;400.00;400.00
54.80;400.00;400.00
54.90;400.00;400.00
55.00;400.00;400.00
55.10;400.00;400.00
55.20;400.00;400.00
55.30;400.00;400.00
55.40;400.00;400.00
55.50;400.00;400.00
55.60;400.00;400.00
55.70;400.00;400.00
55.80;400.00;400.00
55.90;400.00;400.00
56.00;400.00;400.00
56.10;400.00;400.00
56.20;400.00;400.00
56.30;400.00;400.00
56.40;400.00;400.00
56.50;400.00;400.00
56.60;400.00;400.00
56.70;400.00;400.00
56.80;400.00;400.00
56.90;400.00;400.00
57.00;400.00;400.00
57.10;400.00;400.00
57.20;400.00;400.00
57.30;400.00;400.00
57.40;400.00;400.00
